Karte	legen	n			595	
Hand	waschen	~e			335	
Sonne	baden	n			319	
Film	machen	e			220	
Geschichte	erzählen	n			179	
Zahn	knirschen	~e			176	
Tor	schießen	e			140	
Pistole	schießen	n			134	
Haar	waschen	e			121	
Kurve	fahren	n			106	
Schuld	machen	en			99	
Glocke	läuten	n			75	
Kalorie	zählen	n			71	
Dose	werfen	n			71	
Wade	heben	n			58	
Scheibe	schießen	n			57	
Zigarette	rauchen	n			56	
Farbe	sehen	n			51	
Haar	raufen	e			46	
Flasche	drehen	n			42	
Rute	gehen	n			41	
Auge	zucken	n			38	
Haar	färben	e			37	
Bild	machen	er			37	
Punkt	fahren	e			36	
Fliese	legen	n			34	
Fahne	schwenken	n			33	
Stein	werfen	e			30	
Höhle	tauchen	n			30	
Stimme	hören	n			29	
Bett	machen	en			29	
Treppe	laufen	n			27	
Maus	melken	~e			27	
Ohr	anlegen	en			26	
Geschäft	machen	e			26	
Vergleich	schießen	s			24	
Strecke	tauchen	n			24	
Punkt	springen	e			23	
Kerze	ziehen	n			23	
Zeitung	austragen	s			22	
Zahn	ziehen	~e			22	
Rosine	picken	n			22	
Büchse	werfen	n			22	
Mannschaft	springen	s			21	
Blume	pflücken	n			21	
Elefant	reiten	en			20	
Geschicklichkeit	fahren	s			19	
Bulle	reiten	n			19	
Brücke	bauen	n			19	
Schiff	versenken	e			18	
Freundschaft	schießen	s			18	
Fliege	fischen	n			18	
Ähre	schieben	n			17	
Zahn	putzen	~e			17	
Kette	rauchen	n			17	
Falte	unterspritzen	n			17	
Ei	färben	er			17	
Tor	werfen	e			16	
Hand	auflegen	~e			16	
Fahne	weihen	n			16	
Buch	machen	~er			16	
Ring	werfen	e			15	
Klippe	springen	n			15	
Ei	werfen	er			15	
Kind	kriegen	er			14	
Ei	kochen	er			14	
Bezirk	schießen	s			14	
Stelze	laufen	n			13	
Präzision	schießen	s			13	
Pferd	reiten	e			13	
Kontakt	knüpfen	e			13	
Kind	haben	er			13	
Film	gucken	e			13	
Entscheidung	schießen	s			13	
Platte	kalken	n			12	
Gast	schießen	~e			12	
Flinte	schießen	n			12	
Schuh	kaufen	e			11	
Maus	fangen	~e			11	
Karte	ziehen	n			11	
Haus	bauen	~er			11	
Erbse	zählen	n			11	
Bild	einstellen	er			11	
Wunde	lecken	n			10	
Waffe	reinigen	n			10	
Seife	sieden	n			10	
Krabbe	pulen	n			10	
Kind	machen	er			10	
Jubiläum	schießen	s			10	
Bett	beziehen	en			10	
Auge	öffnen	n			10	
Zigarre	rauchen	n			9	
Zigarette	holen	n			9	
Spruch	klopfen	~e			9	
Platte	auflegen	n			9	
Pferd	stehlen	e			9	
Lied	machen	er			9	
Kirsche	pflücken	n			9	
Gruppe	fahren	n			9	
Glocke	gießen	n			9	
Gans	reiten	~e			9	
Bombe	legen	n			9	
Ausscheidung	fahren	s			9	
Auge	verdrehen	n			9	
Verteidigung	schießen	s			8	
Stern	gucken	e			8	
Rakete	werfen	n			8	
Punkt	zählen	e			8	
Nase	bohren	n			8	
Maschine	zeichnen	n			8	
Kralle	wetzen	n			8	
Karte	zeichnen	n			8	
Gedanke	lesen	n			8	
Ei	picken	er			8	
Zwang	ernähren	s			7	
Zicke	kicken	n			7	
Zahn	zusammenbeißen	~e			7	
Training	schießen	s			7	
Stein	klopfen	e			7	
Scheibe	reinigen	n			7	
Psalm	singen	en			7	
Münze	werfen	n			7	
Mine	räumen	n			7	
Martin	singen	s			7	
Mannschaft	schießen	s			7	
Leistung	singen	s			7	
Krug	werfen	~e			7	
Gans	schießen	~e			7	
Fuß	waschen	~e			7	
Film	drehen	e			7	
Dose	öffnen	n			7	
Bett	bauen	en			7	
Beere	pflücken	n			7	
Zunge	reden	n			6	
Zeitung	lesen	s			6	
Welpe	töten	n			6	
Welle	surfen	n			6	
Uhr	machen	en			6	
Treppe	steigen	n			6	
Tour	fahren	en			6	
Straße	fahren	n			6	
Stange	treten	n			6	
Spur	lesen	en			6	
Schuh	zubinden	e			6	
Reihe	knutschen	n			6	
Platte	legen	n			6	
Phrase	dreschen	n			6	
Mine	legen	n			6	
Mannschaft	fahren	s			6	
Lücke	springen	n			6	
Lippe	ablesen	n			6	
Lanze	reiten	n			6	
Krippe	bauen	n			6	
Kind	bekommen	er			6	
Grenze	setzen	n			6	
Gemeinschaft	wohnen	s			6	
Form	zeichnen	en			6	
Form	laufen	en			6	
Fisch	versenken	e			6	
Ei	fressen	er			6	
Dose	schießen	n			6	
Büchse	schießen	n			6	
Brücke	schlagen	n			6	
Boot	fahren	s			6	
Bombe	werfen	n			6	
Bedingung	schießen	s			6	
Zitrone	schnitzen	n			5	
Zahn	ausbeißen	~e			5	
Wünschelrute	gehen	n			5	
Volk	morden	~er			5	
Stafette	springen	n			5	
Spur	legen	en			5	
Spiel	erfinden	e			5	
Silbe	zählen	n			5	
Senior	schießen	en			5	
Qualifikation	springen	s			5	
Prinz	schießen	en			5	
Platte	hören	n			5	
Plakat	kleben	e			5	
Note	lesen	n			5	
Meile	fressen	n			5	
Medaille	schießen	n			5	
Lunge	röntgen	n			5	
Loch	bohren	~er			5	
Linie	ziehen	n			5	
Kind	erziehen	er			5	
Kette	fangen	n			5	
Kerze	gießen	n			5	
Kartoffel	schälen	n			5	
Karte	zählen	n			5	
Hürde	laufen	n			5	
Höhle	grölen	n			5	
Hypothese	testen	n			5	
Hausaufgabe	machen	n			5	
Hand	trocknen	~e			5	
Haend	waschen	e			5	
Haar	ziehen	e			5	
Haar	schneiden	e			5	
Haar	ausraufen	e			5	
Gesicht	cremen	s			5	
Geschenk	verteilen	e			5	
Gedanke	machen	n			5	
Flasche	werfen	n			5	
Farbe	mischen	n			5	
Bild	anschauen	er			5	
Aufgabe	reiten	n			5	
Aufgabe	lösen	n			5	
